Temps execution: 0.00145331 secondes
Ratio page fault: 24.4%
Succes TLB: 5.5%
16916	20	20	0
62493	285	285	0
30198	758	758	29
53683	947	947	108
40185	1273	1273	0
28781	1389	1389	0
24462	1678	1678	23
48399	1807	1807	67
64815	2095	2095	75
18295	2423	2423	-35
12218	2746	2746	11
22760	3048	3048	0
57982	3198	3198	56
27966	3390	3390	27
54894	3694	3694	53
38929	3857	3857	0
32865	4193	4193	0
64243	4595	4595	-68
2315	4619	4619	66
64454	5062	5062	62
55041	5121	5121	0
18633	5577	5577	0
14557	5853	5853	0
61006	5966	5966	59
62615	407	6039	-91
7591	6311	6311	105
64747	6635	6635	58
6727	6727	6727	-111
32315	6971	6971	-114
60645	7397	7397	0
6308	7588	7588	0
45688	7800	7800	0
969	8137	8137	0
40891	8379	8379	-18
49294	8590	8590	48
41118	8862	8862	40
21395	9107	9107	-28
6091	9419	9419	-14
32541	9501	9501	0
17665	9729	9729	0
3784	10184	10184	0
28718	1326	10030	3
59240	10344	10344	0
40178	1266	10482	57
60086	10678	10678	58
42252	10764	10764	0
44770	11234	11234	43
22514	11506	11506	21
3067	11771	11771	-2
15757	11917	11917	0
31649	12193	12193	0
10842	12378	12378	10
43765	12789	12789	0
33405	12925	12925	0
44954	13210	13210	43
56657	13393	13393	0
5003	13707	13707	-30
50227	13875	13875	12
19358	14238	14238	18
36529	14513	14513	0
10392	14744	14744	0
58882	14850	14850	57
5129	15113	15113	0
58554	15546	15546	57
58584	15576	15576	0
27444	15668	15668	0
58982	14950	15718	26
51476	15892	15892	0
6796	6796	16012	0
21311	9023	15935	79
30705	16369	16369	0
28964	16420	16420	0
41003	8747	16427	74
20259	16675	16675	-56
57857	3073	16641	0
63258	16922	16922	61
36374	14358	16918	61
692	17332	17332	0
43121	17521	17521	0
48128	17664	17664	0
34561	17921	17921	0
49213	8509	17981	0
36922	18234	18234	36
59162	10266	18202	36
50552	18552	18552	0
17866	9930	18634	49
18145	18913	18913	0
3884	18988	18988	0
54388	19316	19316	0
42932	19636	19636	0
46919	19783	19783	-47
58892	14860	19724	0
8620	20140	20140	0
38336	20416	20416	0
64357	4965	20325	0
23387	20571	20571	-42
42632	20872	20872	0
15913	21033	21033	0
15679	11839	21055	-113
22501	11493	21221	0
37540	21412	21412	0
5527	21655	21655	101
63921	21937	21937	0
62716	508	22012	0
32874	4202	21866	62
64390	4998	21894	62
63101	22141	22141	0
61802	22378	22378	60
19648	22720	22720	0
29031	16487	22631	25
44981	13237	22709	0
28092	3516	22716	0
9448	23016	23016	0
44744	11208	22984	0
61496	23096	23096	0
31453	23517	23517	0
60746	23626	23626	59
12199	2727	23719	105
62255	23855	23855	-53
21793	24097	24097	0
26544	24496	24496	0
14964	24692	24692	0
41462	25078	25078	40
56089	25113	25113	0
52038	25414	25414	50
47982	25710	25710	46
59484	25948	25948	0
50924	26348	26348	0
6942	26398	26398	6
34998	26806	26806	34
27069	27069	27069	0
51926	27350	27350	50
60645	7397	27365	0
43181	17581	27309	0
10559	27455	27455	79
4664	27704	27704	0
28578	28066	28066	27
59516	25980	28028	0
38912	3840	27904	0
63562	28234	28234	62
64846	2126	28238	62
62938	28634	28634	61
27194	28730	28730	26
28804	1412	28804	0
61703	22279	28679	-127
10998	12534	28918	26
6596	29124	29124	0
37721	29273	29273	0
43430	29606	29606	42
22692	2980	29604	0
62971	28667	29691	126
47125	29717	29717	0
52521	29993	29993	0
34646	18006	30038	51
32889	4217	30073	0
13055	30463	30463	-65
65416	30600	30600	0
62869	28565	30613	0
57314	30946	30946	55
12659	31091	31091	92
14052	31460	31460	0
32956	4284	31420	0
49273	8569	31353	0
50352	14000	31408	0
49737	31561	31561	0
15555	31939	31939	48
47475	32115	32115	92
15328	32480	32480	0
34621	17981	32317	0
51365	32677	32677	0
32820	4148	32564	0
48855	32983	32983	-75
12224	2752	32960	0
2035	33267	33267	-4
60539	7291	33147	-34
14595	33283	33283	64
13853	31261	33309	0
24143	33615	33615	-109
15216	32368	33648	0
8113	33969	33969	0
22640	2928	33904	0
32978	4306	34002	7
39151	4079	34031	-5
